Bloque,IPs Muestra,Resultado,zen.spamhaus.org,Total Listas
185.220.64.0/24,185.220.64.1| 185.220.64.26| 185.220.64.32| 185.220.64.128| 185.220.64.231| 185.220.64.237| 185.220.64.245| 185.220.64.106| 185.220.64.118| 185.220.64.223| 185.220.64.59| 185.220.64.148| 185.220.64.31| 185.220.64.178| 185.220.64.254,LIMPIO,,0
185.220.65.0/24,185.220.65.1| 185.220.65.136| 185.220.65.54| 185.220.65.19| 185.220.65.144| 185.220.65.85| 185.220.65.40| 185.220.65.32| 185.220.65.137| 185.220.65.23| 185.220.65.103| 185.220.65.98| 185.220.65.138| 185.220.65.185| 185.220.65.254,LIMPIO,,0
185.220.66.0/24,185.220.66.1| 185.220.66.80| 185.220.66.110| 185.220.66.218| 185.220.66.41| 185.220.66.223| 185.220.66.42| 185.220.66.22| 185.220.66.52| 185.220.66.220| 185.220.66.140| 185.220.66.252| 185.220.66.236| 185.220.66.90| 185.220.66.254,LIMPIO,,0
185.220.67.0/24,185.220.67.1| 185.220.67.121| 185.220.67.242| 185.220.67.195| 185.220.67.231| 185.220.67.9| 185.220.67.142| 185.220.67.165| 185.220.67.86| 185.220.67.69| 185.220.67.53| 185.220.67.163| 185.220.67.182| 185.220.67.68| 185.220.67.254,LIMPIO,,0
185.220.68.0/24,185.220.68.1| 185.220.68.228| 185.220.68.38| 185.220.68.192| 185.220.68.49| 185.220.68.151| 185.220.68.244| 185.220.68.174| 185.220.68.112| 185.220.68.33| 185.220.68.133| 185.220.68.182| 185.220.68.180| 185.220.68.145| 185.220.68.254,BLOQUEO,,15
185.220.69.0/24,185.220.69.1| 185.220.69.105| 185.220.69.86| 185.220.69.124| 185.220.69.16| 185.220.69.198| 185.220.69.100| 185.220.69.55| 185.220.69.240| 185.220.69.75| 185.220.69.190| 185.220.69.226| 185.220.69.34| 185.220.69.218| 185.220.69.254,LIMPIO,,0
185.220.70.0/24,185.220.70.1| 185.220.70.197| 185.220.70.238| 185.220.70.234| 185.220.70.55| 185.220.70.76| 185.220.70.49| 185.220.70.213| 185.220.70.44| 185.220.70.4| 185.220.70.43| 185.220.70.236| 185.220.70.41| 185.220.70.199| 185.220.70.254,LIMPIO,,0
185.220.71.0/24,185.220.71.1| 185.220.71.212| 185.220.71.146| 185.220.71.30| 185.220.71.246| 185.220.71.252| 185.220.71.166| 185.220.71.241| 185.220.71.12| 185.220.71.222| 185.220.71.21| 185.220.71.102| 185.220.71.168| 185.220.71.201| 185.220.71.254,LIMPIO,,0
185.220.72.0/24,185.220.72.1| 185.220.72.171| 185.220.72.125| 185.220.72.37| 185.220.72.158| 185.220.72.12| 185.220.72.144| 185.220.72.241| 185.220.72.170| 185.220.72.40| 185.220.72.199| 185.220.72.187| 185.220.72.7| 185.220.72.56| 185.220.72.254,LIMPIO,,0
185.220.73.0/24,185.220.73.1| 185.220.73.66| 185.220.73.111| 185.220.73.36| 185.220.73.35| 185.220.73.247| 185.220.73.43| 185.220.73.154| 185.220.73.21| 185.220.73.118| 185.220.73.144| 185.220.73.193| 185.220.73.222| 185.220.73.198| 185.220.73.254,LIMPIO,,0
185.220.74.0/24,185.220.74.1| 185.220.74.228| 185.220.74.9| 185.220.74.246| 185.220.74.107| 185.220.74.149| 185.220.74.202| 185.220.74.43| 185.220.74.139| 185.220.74.21| 185.220.74.64| 185.220.74.29| 185.220.74.44| 185.220.74.109| 185.220.74.254,LIMPIO,,0
185.220.75.0/24,185.220.75.1| 185.220.75.235| 185.220.75.90| 185.220.75.121| 185.220.75.9| 185.220.75.120| 185.220.75.35| 185.220.75.253| 185.220.75.145| 185.220.75.85| 185.220.75.226| 185.220.75.169| 185.220.75.11| 185.220.75.113| 185.220.75.254,LIMPIO,,0
185.220.76.0/24,185.220.76.1| 185.220.76.46| 185.220.76.197| 185.220.76.74| 185.220.76.76| 185.220.76.80| 185.220.76.127| 185.220.76.191| 185.220.76.20| 185.220.76.43| 185.220.76.93| 185.220.76.227| 185.220.76.223| 185.220.76.203| 185.220.76.254,LIMPIO,,0
185.220.77.0/24,185.220.77.1| 185.220.77.92| 185.220.77.6| 185.220.77.208| 185.220.77.239| 185.220.77.96| 185.220.77.190| 185.220.77.221| 185.220.77.85| 185.220.77.243| 185.220.77.66| 185.220.77.59| 185.220.77.230| 185.220.77.128| 185.220.77.254,LIMPIO,,0
185.220.78.0/24,185.220.78.1| 185.220.78.54| 185.220.78.222| 185.220.78.204| 185.220.78.100| 185.220.78.166| 185.220.78.81| 185.220.78.9| 185.220.78.146| 185.220.78.173| 185.220.78.227| 185.220.78.184| 185.220.78.74| 185.220.78.23| 185.220.78.254,LIMPIO,,0
185.220.79.0/24,185.220.79.1| 185.220.79.34| 185.220.79.49| 185.220.79.87| 185.220.79.118| 185.220.79.48| 185.220.79.144| 185.220.79.145| 185.220.79.252| 185.220.79.205| 185.220.79.213| 185.220.79.18| 185.220.79.132| 185.220.79.29| 185.220.79.254,LIMPIO,,0
185.220.80.0/24,185.220.80.1| 185.220.80.109| 185.220.80.49| 185.220.80.221| 185.220.80.86| 185.220.80.63| 185.220.80.243| 185.220.80.14| 185.220.80.176| 185.220.80.120| 185.220.80.128| 185.220.80.250| 185.220.80.41| 185.220.80.97| 185.220.80.254,LIMPIO,,0
185.220.81.0/24,185.220.81.1| 185.220.81.127| 185.220.81.161| 185.220.81.171| 185.220.81.55| 185.220.81.19| 185.220.81.95| 185.220.81.17| 185.220.81.110| 185.220.81.39| 185.220.81.90| 185.220.81.108| 185.220.81.99| 185.220.81.26| 185.220.81.254,LIMPIO,,0
185.220.82.0/24,185.220.82.1| 185.220.82.117| 185.220.82.84| 185.220.82.147| 185.220.82.225| 185.220.82.133| 185.220.82.184| 185.220.82.209| 185.220.82.90| 185.220.82.154| 185.220.82.98| 185.220.82.235| 185.220.82.216| 185.220.82.106| 185.220.82.254,LIMPIO,,0
185.220.83.0/24,185.220.83.1| 185.220.83.237| 185.220.83.88| 185.220.83.156| 185.220.83.166| 185.220.83.212| 185.220.83.196| 185.220.83.163| 185.220.83.192| 185.220.83.165| 185.220.83.214| 185.220.83.205| 185.220.83.127| 185.220.83.211| 185.220.83.254,LIMPIO,,0
185.220.84.0/24,185.220.84.1| 185.220.84.5| 185.220.84.71| 185.220.84.31| 185.220.84.74| 185.220.84.87| 185.220.84.69| 185.220.84.208| 185.220.84.230| 185.220.84.156| 185.220.84.15| 185.220.84.102| 185.220.84.252| 185.220.84.209| 185.220.84.254,BLOQUEO,,15
185.220.85.0/24,185.220.85.1| 185.220.85.242| 185.220.85.105| 185.220.85.21| 185.220.85.252| 185.220.85.53| 185.220.85.85| 185.220.85.94| 185.220.85.136| 185.220.85.116| 185.220.85.230| 185.220.85.118| 185.220.85.131| 185.220.85.219| 185.220.85.254,BLOQUEO,,15
185.220.86.0/24,185.220.86.1| 185.220.86.147| 185.220.86.111| 185.220.86.68| 185.220.86.195| 185.220.86.138| 185.220.86.92| 185.220.86.85| 185.220.86.231| 185.220.86.9| 185.220.86.19| 185.220.86.51| 185.220.86.53| 185.220.86.192| 185.220.86.254,BLOQUEO,,15
185.220.87.0/24,185.220.87.1| 185.220.87.164| 185.220.87.248| 185.220.87.172| 185.220.87.68| 185.220.87.26| 185.220.87.67| 185.220.87.7| 185.220.87.61| 185.220.87.238| 185.220.87.240| 185.220.87.200| 185.220.87.118| 185.220.87.15| 185.220.87.254,BLOQUEO,,15
185.220.88.0/24,185.220.88.1| 185.220.88.155| 185.220.88.165| 185.220.88.137| 185.220.88.248| 185.220.88.205| 185.220.88.251| 185.220.88.180| 185.220.88.201| 185.220.88.26| 185.220.88.69| 185.220.88.122| 185.220.88.236| 185.220.88.253| 185.220.88.254,LIMPIO,,0
185.220.89.0/24,185.220.89.1| 185.220.89.240| 185.220.89.190| 185.220.89.71| 185.220.89.59| 185.220.89.172| 185.220.89.176| 185.220.89.63| 185.220.89.9| 185.220.89.160| 185.220.89.150| 185.220.89.184| 185.220.89.51| 185.220.89.157| 185.220.89.254,LIMPIO,,0
185.220.90.0/24,185.220.90.1| 185.220.90.44| 185.220.90.247| 185.220.90.126| 185.220.90.131| 185.220.90.42| 185.220.90.187| 185.220.90.244| 185.220.90.204| 185.220.90.180| 185.220.90.81| 185.220.90.48| 185.220.90.203| 185.220.90.243| 185.220.90.254,LIMPIO,,0
185.220.91.0/24,185.220.91.1| 185.220.91.31| 185.220.91.96| 185.220.91.210| 185.220.91.190| 185.220.91.63| 185.220.91.252| 185.220.91.199| 185.220.91.28| 185.220.91.183| 185.220.91.62| 185.220.91.95| 185.220.91.112| 185.220.91.70| 185.220.91.254,LIMPIO,,0
185.220.92.0/24,185.220.92.1| 185.220.92.216| 185.220.92.222| 185.220.92.71| 185.220.92.227| 185.220.92.234| 185.220.92.7| 185.220.92.214| 185.220.92.75| 185.220.92.56| 185.220.92.12| 185.220.92.94| 185.220.92.162| 185.220.92.17| 185.220.92.254,LIMPIO,,0
185.220.93.0/24,185.220.93.1| 185.220.93.7| 185.220.93.38| 185.220.93.70| 185.220.93.147| 185.220.93.36| 185.220.93.23| 185.220.93.201| 185.220.93.47| 185.220.93.195| 185.220.93.205| 185.220.93.131| 185.220.93.148| 185.220.93.34| 185.220.93.254,LIMPIO,,0
185.220.94.0/24,185.220.94.1| 185.220.94.62| 185.220.94.92| 185.220.94.77| 185.220.94.136| 185.220.94.53| 185.220.94.170| 185.220.94.232| 185.220.94.134| 185.220.94.204| 185.220.94.188| 185.220.94.106| 185.220.94.27| 185.220.94.115| 185.220.94.254,LIMPIO,,0
185.220.95.0/24,185.220.95.1| 185.220.95.131| 185.220.95.81| 185.220.95.88| 185.220.95.94| 185.220.95.20| 185.220.95.245| 185.220.95.117| 185.220.95.125| 185.220.95.36| 185.220.95.30| 185.220.95.182| 185.220.95.243| 185.220.95.39| 185.220.95.254,LIMPIO,,0
